,company,education,experience,industry,jobdescription,jobid,joblocation_address,jobtitle,payrate,skills,uniq_id
844,Planman HR Private Limited,"UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",5 ,"['Recruitment ', ' Staffing']","id profile: expert dot net, mvc, wcf, web services, soap expert C# & asp.net, sql. candid involv development, enhanc product support. (peopl develop previou experi product support also consid position) good understand & work exposur ticket handl remedi (or)jira (or) extern server provid peopl extract client base order form. implementing/schedul extract base new request develop new connectors. can develop custom applic asp.net ,c# use capac perform analysi provid comprehens report must hand experi object orient program good handl mvc, mvvm, wcf, soa & design pattern. salary: not disclos recruit industry: recruit / staf function area: IT softwar - applic program , mainten role category:program & design role:softwar develop keyskil asp.net wcf mvvm C# mvc .net web servic net sql soa dot net soap desir candid profil education- ug: ani graduat - ani special pg:ani postgradu - ani specialization, post graduat not requir doctorate:ani doctor - ani specialization, doctor not requir location: chennai (onli get candid will chennai location)work experience: 5 - 10 year compani profile: planman HR privat limit planman HR privat limit download ppt photo 1 view contact detail",20452,"['Bengaluru/Bangalore', ',', 'Chennai']",Dot Net Developer,-,database application oop full stack asp.net web development javascript,7080
845,Exide Life Insurance Company Limited,"UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",1 ,['Insurance'],"cruit advisor (agents) gener busi - sell polici directli (yourself) indirectli (through advisors) - counsel motiv advisor - respons assign & final targets, monitor & review period - involv field sale - gener lead - strict adher organ polici processes. - provid accur forecasts, updat request report report manag - adher proper busi work ethic salary:inr 1,50,000 - 3,50,000 p.a. attract incent industry: insur function area: financi servic , bank , invest , insur role category:lif insurance/financi servic role:sales/busi development-manag keyskil field sale sale manag lead gener busi gener desir candid profil education- ug: ani graduat - ani special pg:ani postgradu - ani special doctorate:ani doctor - ani specialization, doctor not requir pleas refer job descript compani profile: exid life insur compani limit exid life insur compani limit In india, exid life insur compani limit (formerli ing vysya life insur compani limited) commenc oper 2001 head quarter bangalore. the compani 100% own exid industri limit proud part 100 year old brand heritag india. the compani profit serv 10 lakh custom across india manag inr 7000 crore assets. exid life insur manag principl good corpor govern overal superintend board directors. download ppt photo 1 view contact detail",7231,"['Bengaluru/Bangalore', ',', 'Belgaum', ',', 'Bidar', ',', 'Dharwad', ',', 'Hubli']",Sales Manager,"1,50,000 - 3,50,000 P.A. Attractive incentives",marketing communication skills planning abilities analysis delegation,10845
846,TeamLease Services Pvt Ltd,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Doctorate Not Required",2 ,"['Industrial Products ', ' Heavy Machinery']","descript sale engineers: (to engag motherson techno tool market partners) achiev sale target custom alloc respons sale develop cut tool solut end custom contact person mttl partner & custom conduct make success trial applic mttl rang cut tool propos new tool solut custom assign introduct sale new product maintain develop custom base contact within exist custom provid support custom sale servic skill required: strong relationship build skill flair sell fair knowledg cut tool conduct success cut tool test shop floor experi ad advantag qualification: diploma degre mechan engin experience: 2-4 year shop floor experi machin (turning, mill & drilling), hand experi cnc turn machin centr interest sale tool crib, tool engin staff, experi conduct trial shop floor cnc turning/ mill centers. from competition: peopl work compani distributor kennametal, sandvik, ceratizit, seco tools, walter, tungalloy, mitsubishi, l&t (iscar tools), kyocera, carborundum (note: competit staff, limit 40-50% total team) note: suitabl peopl need mobile, thu 2 wheeler carri daili activ salary:inr 2,25,000 - 4,50,000 p.a industry: industri product / heavi machineri function area: sale , retail , busi develop role category:retail sale role:sal executive/offic keyskil sale engin sell market sale develop relationship build cut tool machin centr mechan engin shop floor cnc turn desir candid profil education- ug: ani graduat - ani specialization, graduat not requir pg:ani postgradu - ani specialization, post graduat not requir doctorate:doctor not requir pleas refer job descript compani profile: teamleas servic pvt ltd teamleas servic ltd. www.teamlease.com ""3000+ job readi you. "" download ppt photo 1 view contact detail",20259,['Bengaluru/Bangalore'],Sales Engineer,"2,25,000 - 4,50,000 P.A",Sales,14907
847,Hojo Entertainment Private Limited,"UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Doctorate Not Required",0 ,"['Education ', ' Teaching ', ' Training']","tartup, look candid work independ take holist busi develop role. day day respons would include- 1. market research 2. sale 3. vendor manag 4. market via variou platform It complet field job base bangalore. opportun growth great consid lean startup. salary:inr 1,75,000 - 3,00,000 p.a industry: educ / teach / train function area: sale , retail , busi develop role category:retail sale role:sales/busi develop manag keyskil sale sale & market busi develop market survey market develop desir candid profil education- ug: ani graduat - ani special pg:ani postgradu - ani specialization, post graduat not requir doctorate:doctor not requir pleas refer job descript compani profile: hojo entertain privat limit A technolog enabl startup, portal thing relat hobbies. We sell product relat hobbi activ well conduct class variou center across bangalor everi week. initi focu bangalor later look increas presenc pan india. download ppt photo 1 view contact detail",20977,['Bengaluru/Bangalore'],Business Development Manager,"1,75,000 - 3,00,000 P.A",strategic skills ms office teamwork communication skills marketing,11986
848,CZ Insights,UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization,1 ,"['Strategy ', ' Management Consulting Firms']","ll sharpen analyt financi knowledg * state-of-the-art knowledg statist model market investig * abil manag highli sensit confidenti inform * excel research designing, writing, verba salary:inr 5,00,000 - 7,00,000 p.a industry: strategi / manag consult firm function area: analyt & busi intellig role category:analyt & BI role:busi analyst keyskil analysi statist model desir candid profil education- ug: ani graduat - ani special pg:ani postgradu - ani special doctorate:ani doctor - ani special pleas refer job descript compani profile: CZ insight We market research cum manag consult start-up footprint across variou citi india. We current involv variou differ sector like automobile, e-commerce, HR consulting, etc. download ppt photo 1 view contact detail",21038,['Bengaluru/Bangalore'],Analyst,"5,00,000 - 7,00,000 P.A",communication skills stratergy presentation skills management good listener,8209
849,Cherry Hill Interiors Limited,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Doctorate Not Required, Any Doctorate - Any Specialization",5 ,"['Architecture ', ' Interior Design']","ow new busi opportun set meet architect & corporates. -plan prepar present (powerpoint) -commun new product develop prospect client -overse develop market -meet potenti clients, architects, interior designers, pmc, consultants. salary:inr 1,00,000 - 6,00,000 p.a. best industri industry: architectur / interior design function area: sale , retail , busi develop role category:corpor sale role:sales/busi develop manag keyskil corpor sale busi develop manag client servic architectur desir candid profil education- ug: ani graduat - ani specialization, graduat not requir pg:ani postgradu - ani specialization, post graduat not requir doctorate:doctor not required, ani doctor - ani special vast experi interior industry. - knowledg modular furniture, interiors, turnkey. - excel commun skill & present skills. - flexibl 6 day working- femal candid required. compani profile: cherri hill interior limit cherri hill interior ltd. premier servic provid corpor interiors. complet 25 success year presenc delhi, bangalore, chennai, hyderabad, pune &amp; dubai expertis provid interior solut lead corpor hous &amp; hospit chain download ppt photo 1 view contact detail",20086,['Bengaluru/Bangalore'],Business Development Manager,"1,00,000 - 6,00,000 P.A. best in the industry",strategic skills ms office teamwork communication skills marketing,13680
850,Cranium Information Technology,UG: B.Tech/B.E. - Any Specialization PG:MBA/PGDM - Any Specialization,1 ,"['IT-Software ', ' Software Services']","mmedi open IT recruiter/hr execut requirement:- design :- IT recruiter/hr execut educ :- ani graduate. experi :- 1- 5 yr locat :- bangalor posit :- 3no shift time :- US shift notic period : immedi requir skills: handl complet recruit cycle. review understand job requirement. effici effect fill open positions. conduct regular follow-up manag determin effect recruit plan implementation. creat detail job descript follow candid self-confid self starter. excel commun skill must salary:inr 6,50,000 - 7,00,000 p.a industry: it-softwar / softwar servic function area: HR , recruit , administr , IR role category:hr/ recruit / IR role:recruit manag keyskil IT recruit HR detail US shift commun skill desir candid profil education- ug: b.tech/b.e. - ani special pg:mba/pgdm - ani special pleas refer job descript compani profile: cranium inform technolog your gateway great career ! download ppt photo 1 view contact detail",20960,['Bengaluru/Bangalore'],IT Recruiter,"6,50,000 - 7,00,000 P.A",HR,4362
851,Alp Consulting Ltd,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",3 ,"['IT-Software ', ' Software Services']"," end end IT recruit alp consult limit join asap 3 yr 6 yr locat bangalor bangalor plz contact santha santha.k@alpconsulting.in 8904830621 / 80 30911607 salary: not disclos recruit industry: it-softwar / softwar servic function area: HR , recruit , administr , IR role category:hr/ recruit / IR role:recruit execut keyskil IT recruit recruit talent acquisit recruit talent acquisit hire staf desir candid profil education- ug: ani graduat - ani specialization, graduat not requir pg:ani postgradu - ani specialization, post graduat not requir doctorate:ani doctor - ani specialization, doctor not requir pleas refer job descript compani profile: alp consult ltd mnc download ppt photo 1 view contact detail",21084,['Bengaluru/Bangalore'],IT Recruiter,-,HR,8824
852,Merrin and Associates hiring for Client of Merrin & Associates,"UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",8 ,"['Retail ', ' Wholesale']"," project manag respons complet handov project store operations. interest pl send profil pramila@merrinassociates.com salary:inr 15,00,000 - 20,00,000 p.a industry: retail / wholesal function area: site engin , project manag role category:sit engin role:construction-construct manag keyskil project manag project execut project plan project desir candid profil education- ug: ani graduat - ani special pg:ani postgradu - ani specialization, post graduat not requir doctorate:ani doctor - ani specialization, doctor not requir respons complet handov project store operations. look candid retail industri basic handl project execut store pan india compani profile: merrin associ client merrin & associ lead onlin compani download ppt photo 1 view contact detail",20221,['Bengaluru/Bangalore'],Project Manager,"15,00,000 - 20,00,000 P.A",teamwork communication skills ms office management analytical skills,9859
853,Gallup India Private Limited,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",3 ,"['Strategy ', ' Management Consulting Firms']","opportunity: consult subject-matt expert servic solut gallup provid clients. they draw deep understand gallup' practic area - strengths/select development, employe engagement, marketplac practices, leadership development, - help creat solut optim client busi performance. consult respons for: continu grow expertis gallup' core practic area consult developments. coordin team establish partnership provid integr coher consult processes. partner busi develop team throughout design implement client engagements. demonstr flexibl creativ design program meet specif client needs. offer action advic establish credibl vp-level c-level executives. creat organiz chang measur implement successes. qualifications: An mba master' degre 3 5 year consult experi required. consult experi customer, attitude, brand research and/or employe select develop strongli encourag apply. applic must current author work india full-tim basis. salary: not disclos recruit industry: strategi / manag consult firm function area: strategi , manag consult , corpor plan role category:corpor planning/consulting/strategi role:busi analyst keyskil project manag spss stata excel analyt statist MS offic research analysi commun skill verbal commun desir candid profil education- ug: ani graduat - ani specialization, graduat not requir pg:ani postgradu - ani specialization, post graduat not requir doctorate:ani doctor - ani specialization, doctor not requir pleas refer job descript compani profile: gallup india privat limit gallup' forward-think research, analytics, advic help leader around world solv press problems. combin 75 year experi global reach, know attitud behavior world' constituents, employees, custom organization. gallup help privat public organ boost organ growth measur tools, strateg advice, education. our 2,000 profession deliv servic client organizations, web, nearli 40 offic around world. gallup hire peopl bring energy, enthusiasm, right talent uniqu workplace. our associ self-start mission achiev great thing contribut new idea fresh concept root profound research refin intelligence. through hard work collaboration, gallup associ strive build great relationship client organizations. download ppt photo 1 view contact detail",19827,"['Mumbai', ',', 'Bengaluru/Bangalore']",Consultant,-,Strategy,10030
854,GE Healthcare,UG: B.Tech/B.E. - Any Specialization PG:M.Tech - Any Specialization Doctorate:Doctorate Not Required,4 ,"['IT-Software ', ' Software Services']","r skill & experience: 1. deep hands-on expertis UI technolog includ html5, javascript angular base UI develop tdd driven approach 2. deep experi develop cross platform UI embedded/ mobil system 3. proven expertis code review/optimization, analysi issu resolv technic issu 4. bachelor' degre / master softwar engin disciplin 5. 10+ year experi softwar design development, least 5 year experi UI develop use web technolog 6. experi work ux/us expert creat intuit contemporari user interfac 7. demonstr abil work team, especi mentor guid team member 8. experi product develop unit test framework 9. excel communication, interperson present skill compani description: As divis GE healthcare, GE healthcar IT uniqu posit deliv integr care solut invest $2 billion softwar creat enabl technolog improv way healthcar deliv patient globally. GE fuse 130 year track record revolution healthcar tomorrow technolog stay ahead constantli evolv healthcar needs. We one global compani broad portfolio medic devices, software, services, consulting, integr financ capabl appli across new integr care deliveri models. our vision deliv next gener IT perform breakthrough health system caregiv patient serve. both patient provid need consistent, higher qualiti outcomes, GE healthcar IT help drive transform across industry. We deliv tool solut help drive better outcomes. By acceler workflows, streamlin processes, improv analyt capabilities, liber creat new valu data captur softwar technologygiv custom tool need help drive better outcom give patient inform proactiv healthcar experience. our mission market leader integr care solut salary:inr 15,00,000 - 30,00,000 p.a industry: it-softwar / softwar servic function area: IT softwar - applic program , mainten role category:program & design role:techn architect keyskil javascript UI develop design develop angular UI design desir candid profil education- ug: b.tech/b.e. - ani special pg:m.tech - ani special doctorate:doctor not requir pleas refer job descript compani profile: GE healthcar the global technolog team leader - india respons drive excel technic leadership india hardwar product develop activities. the team lead respons guid activ laboratori operations, part libraries, develop platform technologies. As member global technolog team, help deploy global hardwar develop strategi local team. you provid leadership guidanc team members. download ppt photo 1 view contact detail",1126,['Bengaluru/Bangalore'],UI Developer,"15,00,000 - 30,00,000 P.A",ajax json jquery html css,11491
855,GE IIPL - Training Division (GE HEalthcare),"UG: B.Tech/B.E. - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",5 ,"['Medical ', ' Healthcare ', ' Hospitals']"," summary/purpos the softwar engin respons extend develop system softwar mict, esp area CT scanner domain c++ applic linux . essenti respons 1. work close tech lead requir gather softwar design pet recon acquisition. 2. work close system team understand pet recon algorithum product them. 3. design implement featur pet recon acquisit featur platform , thu end-to-end. 4. interact global team promot consist maxim synergi across common softwar platforms. 5. develop applic featur adhrenc healthcar regulatori spec allianc sdlc lifecycle. salary: not disclos recruit industry: medic / healthcar / hospit function area: IT softwar - applic program , mainten role category:program & design role:softwar develop keyskil c++ softwar engin platform linux softwar design desir candid profil education- ug: b.tech/b.e. - ani special pg:ani postgradu - ani specialization, post graduat not requir doctorate:ani doctor - ani specialization, doctor not requir qualifications/requir 1. bachelor' degre engin equivalent2. 5-7 year experi technolog field mainli focus c++ linux (desired).3. softwar develop cycl autom test experience4. experi object orient design methodolog variou program languag esp c/c++5. work knowledg configur manag tool clearcase.qu specif goals:1. awar compli gehc qualiti manual, qualiti manag system, qualiti manag policy, qualiti goals, applic law regul appli job type/position.2. complet plan qualiti & complianc train within defin deadlines.3. identifi report qualiti complianc concern take immedi correct action required.desir characterist exposur design develop CT scanner imag processing. awar sdlc lifecycl esp healthcar industry. compani profile: GE iipl - train divis (ge healthcare) GE iipl - train divis (ge healthcare) download ppt photo 1 view contact detail",20492,['Bengaluru/Bangalore'],Software Engineer,-,coding c c++ python software testing machine learning deep learning java oop,3579
856,Ecentric Solutions Pvt. Ltd.,UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Doctorate Not Required,5 ,"['IT-Software ', ' Software Services']"," year profession web applic develop deploy - expert python python applic sever - strong work experi relat databas (postgresql) nosql (dynamicdb mongodb) - strong work experi django, rest framework, api development, json, workflow - knowledg scaling, optimization, partitioning, fault toler deploy issu - strong data model work experi - good commun skill - work experi git - work experi aw messag queue celeri salary: not disclos recruit industry: it-softwar / softwar servic function area: IT softwar - applic program , mainten role category:program & design role:softwar develop keyskil python django nosql mongodb git postgresql rest web applic develop data model python develop desir candid profil education- ug: ani graduat - ani special pg:ani postgradu - ani special doctorate:doctor not requir compani profile: ecentr solut pvt. ltd. ecentr solut pvt. ltd. download ppt photo 1 view contact detail",19070,['Bengaluru/Bangalore'],Python Developer,-,IT Software - Application Programming,19308
857,M/s IcBio Clinical Research Pvt Ltd,"UG: Any Graduate - Any Specialization, Graduation Not Required, B.Pharma - Pharmacy PG:Any Postgraduate - Any Specialization, Post Graduation Not Required, MBA/PGDM - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",1 ,"['Medical ', ' Healthcare ', ' Hospitals']","ook busi develop manag our clinic research company, those 2 3 year experi cro/ pharma sale salary: not disclos recruit industry: medic / healthcar / hospit function area: market , advertis , MR , PR , media plan role category:market role:market manag keyskil B pharma mba msc desir candid profil education- ug: ani graduat - ani specialization, graduat not required, b.pharma - pharmaci pg:ani postgradu - ani specialization, post graduat not required, mba/pgdm - ani special doctorate:ani doctor - ani specialization, doctor not requir pleas refer job descript compani profile: m/ icbio clinic research pvt ltd icbio clinic research company, website:http://www.icbiocro.com/ contact name: prerna contact no- 9901111228 download ppt photo 1 view contact detail",20928,['Bengaluru/Bangalore'],Business Development Executive,-,strategic skills ms excel teamwork communication skills marketing,18198
858,GE India Technology Pvt. Ltd.,"UG: B.Tech/B.E. - Computers, B.Sc - Computers, Maths, BCA - Computers PG:Any Postgraduate - Any Specialization Doctorate:Doctorate Not Required",3 ,"['Pharma ', ' Biotech ', ' Clinical Research']","ole, design develop innov web mobil base softwar solut transport business. you hand design, develop mainten component, featur and/or featur set. you collabor product & partner team enabl product deliveri & leverag best practic processes. essenti respons act member softwar center excellence, repres face high qualiti design develop practic develop high performing, scale innov end-to-end web applic collabor system engineers, frontend develop softwar develop implement solut align extend share platform solut appli principl sdlc methodolog like lean/agile/xp, ci, softwar product security, scalability, document practices, refactor test techniqu write code meet standard deliv desir function use technolog select project build featur web servic queri exist tabl understand perform paramet assess applic perform work core data structur algorithm implement use languag choic salary: not disclos recruit industry: pharma / biotech / clinic research function area: IT softwar - applic program , mainten role category:program & design role:softwar develop keyskil asp.net mvc rest web servic javascript html5 css angularj backbonej emberj knockoutj nosql camel drool jrule desir candid profil education- ug: b.tech/b.e. - computers, b.sc - computers, maths, bca - comput pg:ani postgradu - ani special doctorate:doctor not requir bachelor degre comput scienc stem major (science, technology, engin math) A minimum 3 year profession experi (includ technic skill)b respons design develop web mobil applic fast pace agil develop environ use latest softwar develop technolog infrastructur .work product owner architect understand product requir visionperform applic support work close custom support team, diagnos andresolv custom report issu anomalies,maintain code qualiti best practices, unit test code qualiti automationwork individu contributor take guidanc softwar technic leader,work environ develop use open sourc develop tools. desir characterist experi work part team follow agil scrum methodologyexperi develop web applications. asp.net, mvc, restful, web servicesexperi front-end technolog javascript, html5, css, angularjs,backbonejs, emberjs, knockoutjsexperi databas tool (postgresql, entiti framework, orm llblgenpro, nosql concepts)experi rule engin (camel, drools, jrules)experi softwar version manag (svn, git mercurial)strong oral written commun skills. compani profile: GE india technolog pvt. ltd. engin analysi center excel (eacoe) engin & technolog hub GE infrastructur locat john F welch technolog centre, bangalore. the team part global engin team infrastructur busi like aviation, energy, oil & ga water technologies, engag high-end design analysi aircraft engin components, steam / ga / wind turbin gener mechan drive oil & ga applications. download ppt photo 1 view contact detail",21203,['Bengaluru/Bangalore'],Software Engineer,-,coding c c++ python software testing machine learning deep learning java oop,19885
859,FLORET Media,"UG: B.Tech/B.E. - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Doctorate Not Required",1 ,"['Internet ', ' Ecommerce']","descript expert php framework / s(codeignit larvel falconphp), good oop concepts, good JS / jquery, angular js(good have), mysql. salary: not disclos recruit industry: internet / ecommerc function area: IT softwar - applic program , mainten role category:program & design role:softwar develop keyskil codeignit php javascript jqueri mysql oop angular JS desir candid profil education- ug: b.tech/b.e. - ani special pg:ani postgradu - ani specialization, post graduat not requir doctorate:doctor not requir compani profile: floret media floret media promot group onlin experienc expert market consultants. the entir team 40+ year cumul work experi respect fields. It one success onlin market compani head offic bangalor branch tirupur, coimbator & chennai. ever sinc floret found 2011, grown serv hundr customers. download ppt photo 1 view contact detail",20438,['Bengaluru/Bangalore'],Senior PHP Developer,-,IT Software - Application Programming,12741
860,Span Design And Development Pvt. Ltd.,"UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",0 ,"['Construction ', ' Engineering ', ' Cement ', ' Metals']","st offic work salary:inr 90,000 - 1,00,000 p.a industry: construct / engin / cement / metal function area: other role category:oth role:oth keyskil offic assist offic co - ordiantor offic execut desir candid profil education- ug: ani graduat - ani specialization, graduat not requir pg:ani postgradu - ani specialization, post graduat not requir doctorate:ani doctor - ani specialization, doctor not requir pleas refer job descript compani profile: span design and develop pvt. ltd. It fast grow design & develop compani 25 year experi project like construct residenti complexes, villas, bungalows, malls, commerci complexes, hospitals, hotel & educ institut etc south download ppt photo 1 view contact detail",18947,['Bengaluru/Bangalore'],Office Assistant,"90,000 - 1,00,000 P.A",,11475
861,OKDASOLUTIONS,"UG: B.Tech/B.E. - Any Specialization, Computers, B.Sc - Any Specialization, Computers, BCA - Computers PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",5 ,"['IT-Software ', ' Software Services']","achelor degre In comput scienc Or equival combin Of educ and experi 2. 5+ year Of total softwar develop experi 3. experi work with io framework such As core data, core animation, core graphic and mapkit, sqlite with strong program skill In objective-c Or swift. 4. design and build applic for the io platform 5. experi with unit testing. 6. experi On web servic integr (soap, rest, json & xml) 7. experi On code-repo tool like git, svn 8. experi with offlin storage, threading, and perform tune 9. work On bug fix and improv applic performance. 10. hands-on coding, system analysis, design, and deliveri Of project assigned. 11. solid understand Of the mobil develop life cycle. salary: not disclos recruit industry: it-softwar / softwar servic function area: IT softwar - mobil role category:program & design role:softwar develop keyskil xml object C io sqlite mobil develop soap web technolog softwar develop unit test life cycl git rest json & xml desir candid profil education- ug: b.tech/b.e. - ani specialization, computers, b.sc - ani specialization, computers, bca - comput pg:ani postgradu - ani special doctorate:ani doctor - ani specialization, doctor not requir compani profile: okdasolut lead client okdasolut download ppt photo 1 view contact detail",6740,['Bengaluru/Bangalore'],iOS Developer,-,ui and ux networking core data xcode ide desgining swift,16812
862,Nokia India Private Limited,"UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",5 ,"['Telecom', 'ISP ', '']","or softwar develop descript our team financi success softwar platform deploy 70 world lead telecommun companies. ten thousand call center agent well ten million subscrib use softwar daili basis. We make easi compani integr backend system troubleshoot diagnost modul expos self-help portals, custom servic repres consoles, soap/rest apis. We servic big custom whose chang need constantli drive evolut product, deliv featur rock solid meet high scalabl demands. recent custom growth mean need expand team, look backend java develop experi add valu quickly. requir must top tier java j2ee develop extens experi write code databas web tier. you expect understand typic web deploy architectur compon featur interact (db/web server/clustering/networking). must experi intern work knowledg spring 3.x+ (core, web, security, jmx) must deep understand libraries/api chosen past products, abl explain design choices. must demonstr exampl identifi perform problem provid solut them. knowledg java memori model diagnost tool provid jvm required. must comfort navig linux command line basic file manipul mainten tasks. knowledg bash script plus. prefer given candid knowledg jboss 6.x+, weblog 12c+, hibern 3.x+, templat engin (velocity/freemarker), oracl databas (custom plsql, databas design/monitoring/queri perform tuning). what work within agil team design develop featur product write autom unit integr test ensur product qualiti collabor team (support, custom projects) ensur custom issu resolv promptli work document team ensur featur correctli document use custom troubleshoot resolv perform issu troubleshoot custom issu product design implement hotfix patch resolv issu product. salary: not disclos recruit industry: telecom/isp / function area: IT softwar - applic program , mainten role category:program & design role:team lead/techn lead keyskil java spring veloc hibern jmx j2ee jboss rest weblog soap desir candid profil education- ug: ani graduat - ani special pg:ani postgradu - ani specialization, post graduat not requir doctorate:ani doctor - ani specialization, doctor not requir pleas refer job descript compani profile: nokia india privat limit nokia global leader technolog connect peopl things. power pioneer work bell labs, research innov division, nokia technologies, forefront creat licens technolog increasingli heart connect lives. We combin global leadership mobil fix network infrastructure, software, services, advanc technolog transform smart devic sensor tap power connectivity. with state-of-the-art software, hardwar servic type network, nokia uniqu posit help commun servic providers, governments, larg enterpris deliv promis 5g, cloud internet things. serv custom 100 countri across world, nokia drive transit smart, virtual network seamless connect creat one, singl network services, converg mobil fix broadband, IP rout optic networks, softwar servic manag seamlessly. with r&d spend eur 4.7 billion 2014, 40,000 research scientist engin continu invent acceler new technolog increasingli transform way peopl thing commun connect: 5g, ultra broadband access, IP softwar defin networking, cloud applications, iot secur platforms, data analytics, well sensor imaging. download ppt photo 1 view contact detail",1152,['Bengaluru/Bangalore'],Senior Software Developer,-,IT Software - Application Programming,11535
863,HCL Technologies,"UG: B.Tech/B.E. - Computers PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",1 ,"['IT-Software ', ' Software Services']","description: data center engin respons equip mainten task manag instal custom upgrad customers; replac cables, compon accessories; maintain record draw schemat center detail equip installed. server, hardwar OS installations, handl tape management. their custom support respons might includ escort custom center tours, respond custom inquiri coordin organizations. administr duti might includ schedul employe shifts, plan capac changes, maintain corpor databas ensur complianc govern regul salary: not disclos recruit industry: it-softwar / softwar servic function area: ite , bpo , kpo , lpo , custom servic , oper role category:voic role:associate/senior associ -(nontechnical) keyskil qualiti tech lead java specialist consult softwar technic sql desir candid profil education- ug: b.tech/b.e. - comput pg:post graduat not requir doctorate:ani doctor - ani specialization, doctor not requir pleas refer job descript compani profile: hcl technolog hcl busi enterpris presenc field technolog healthcare. found 1976 one india' origin IT garag startups, hcl enterpris current compris three compani india - hcl technologies, hcl infosystem hcl healthcar annual revenu us$ 6.5 billion 95,000 profession divers nation oper across 31 countri includ 500 point presenc india. In technolog space, hcl"" offer span wide rang softwar hardwar servic solut includ r&d, technolog services, enterpris applic consulting, remot infrastructur management, IT hardware, system integration, distribut technolog telecom products. A new entrant healthcare, hcl aim provid innov medic services, product train meet grow demand qualiti healthcar india. download ppt photo 1 view contact detail",16483,['Bengaluru/Bangalore'],Engineer,-,ITES,11199
864,Larsen & Toubro Limited,"UG: Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",3 ,"['IT-Software ', ' Software Services']","rgent open java develop bangalor location. position:- java develop location:- bangalor year experience:- 3 6 year role/ job description:- develop abl develop web base applic use java, javascript, jquery, spring, hibernate, jsp, servlets, sql server 2008, spring integr framework, web services. key skills:- - core java (good understand threads, collections) & debugging, - java, javascript, jquery, spring, hibernate, jsp, servlet - mysql - queri procedure, web services. educ qualification: be, mca. regards, HR salary: not disclos recruit industry: it-softwar / softwar servic function area: IT softwar - applic program , mainten role category:program & design role:softwar develop keyskil core java multithread strut hibern desir candid profil education- ug: ani graduat - ani specialization, b.tech/b.e. - ani special pg:ani postgradu - ani specialization, post graduat not requir doctorate:ani doctor - ani specialization, doctor not requir pleas refer job descript compani profile: larsen & toubro limit L & T one india' respect companies, wide admir technolog achievements, profession valu system high standard corpor governance. the compani meet critic requir key sector - infrastructure, oil & gas, power, petrochemical, chemical, mine civil construction. It sustain leadership major line busi customer-focus approach, innov cultur abil respond posit challeng requirements. To meet grow needs, requir talent profession join team engin professionals. download ppt photo 1 view contact detail",18954,['Bengaluru/Bangalore'],Java Developer,-,java data structures algorithms advanced java web services,2036
